movie_id,title,similarity_score
50,Star Wars (1977),0.7345720560109744
181,Return of the Jedi (1983),0.6999249712920796
121,Independence Day (ID4) (1996),0.689785604075855
117,"Rock, The (1996)",0.6645547887084216
405,Mission: Impossible (1996),0.6413217603411472
151,Willy Wonka and the Chocolate Factory (1971),0.6381576334869848
222,Star Trek: First Contact (1996),0.6367273145962253
100,Fargo (1996),0.6306007607613889
237,Jerry Maguire (1996),0.6240747014811379
174,Raiders of the Lost Ark (1981),0.6223824949957648
